,Player,Team,Pos.,Positional Value,Overall Value,Current APY,Value Over APY,Injury-Adjusted Value,Injury-Adjusted APY,Injury-Adjusted Value Over APY,2020 Cash Due,Value Over Cash
0,Russell Wilson,Seahawks,QB,"$29,249,000","$29,249,000","$35,000,000","($5,751,000)","$29,249,000","$35,000,000","($5,751,000)","$18,000,000","$11,249,000"
1,Lamar Jackson,Ravens,QB,"$28,883,000","$28,883,000","$2,367,913","$26,515,087","$28,883,000","$2,367,913","$26,515,087","$1,341,060","$27,541,940"
2,Dak Prescott,Cowboys,QB,"$28,694,000","$28,694,000","$680,848","$28,013,152","$28,694,000","$680,848","$28,013,152","$31,409,000","($2,715,000)"
3,Aaron Rodgers,Packers,QB,"$25,150,000","$25,150,000","$33,500,000","($8,350,000)","$25,150,000","$33,500,000","($8,350,000)","$7,290,000","$17,860,000"
4,Tom Brady,Patriots,QB,"$24,611,000","$24,611,000","$23,000,000","$1,611,000","$24,611,000","$23,000,000","$1,611,000","$25,000,000","($389,000)"
5,Carson Wentz,Eagles,QB,"$24,177,000","$24,177,000","$32,000,000","($7,823,000)","$24,177,000","$32,000,000","($7,823,000)","$39,383,000","($15,206,000)"
6,Deshaun Watson,Texans,QB,"$24,011,000","$24,011,000","$3,463,621","$20,547,379","$24,011,000","$3,463,621","$20,547,379","$2,354,247","$21,656,753"
7,Matt Ryan,Falcons,QB,"$23,534,000","$23,534,000","$30,000,000","($6,466,000)","$24,941,700","$28,125,000","($3,183,300)","$20,500,000","$3,034,000"
8,Jameis Winston,Buccaneers,QB,"$23,468,000","$23,468,000","$6,337,819","$17,130,181","$23,468,000","$6,337,819","$17,130,181","$1,100,000","$22,368,000"
9,Jared Goff,Rams,QB,"$22,737,000","$22,737,000","$33,500,000","($10,763,000)","$22,737,000","$33,500,000","($10,763,000)","$31,042,682","($8,305,682)"
10,Derek Carr,Raiders,QB,"$22,675,000","$22,675,000","$25,005,000","($2,330,000)","$22,675,000","$25,005,000","($2,330,000)","$19,000,000","$3,675,000"
11,Patrick Mahomes,Chiefs,QB,"$22,280,000","$22,280,000","$4,106,491","$18,173,509","$25,048,321","$3,593,180","$21,455,141","$2,794,905","$19,485,095"
12,Jimmy Garoppolo,49ers,QB,"$22,201,000","$22,201,000","$27,500,000","($5,299,000)","$22,201,000","$27,500,000","($5,299,000)","$25,200,000","($2,999,000)"
13,Kirk Cousins,Vikings,QB,"$21,742,000","$21,742,000","$28,000,000","($6,258,000)","$21,742,000","$28,000,000","($6,258,000)","$40,000,000","($18,258,000)"
14,Philip Rivers,Chargers,QB,"$21,492,000","$21,492,000","$20,812,500","$679,500","$21,492,000","$20,812,500","$679,500","$25,000,000","($3,508,000)"
15,T.J. Watt,Steelers,34OLB,"$21,153,000","$21,303,000","$2,314,703","$18,988,297","$21,153,000","$2,314,703","$18,838,297","$1,727,565","$19,575,435"
16,Danielle Hunter,Vikings,43DE,"$20,155,000","$20,745,000","$14,400,000","$6,345,000","$20,155,000","$14,400,000","$5,755,000","$12,000,000","$8,745,000"
17,Za'Darius Smith,Packers,34OLB,"$20,273,000","$20,735,000","$16,500,000","$4,235,000","$20,273,000","$16,500,000","$3,773,000","$12,250,000","$8,485,000"
18,Chandler Jones,Cardinals,34OLB,"$20,432,000","$20,450,000","$16,500,000","$3,950,000","$20,432,000","$16,500,000","$3,932,000","$16,000,000","$4,450,000"
